"list_id","name","uri","subscriber_count","member_count","mode","description","slug","full_name","created_at","following"
"775289386049101825","vivienda","/cosehisa/lists/vivienda",11,4261,"public","","vivienda","@cosehisa/vivienda",2016-09-12 11:06:08,FALSE
"708245342651715584","tweets from TTOT","/bubbleglobe/lists/tweets-from-ttot",45,4372,"public","","tweets-from-ttot","@bubbleglobe/tweets-from-ttot",2016-03-11 10:57:02,FALSE
"193468340","WindowsPhonePeople","/edyg023/lists/windowsphonepeople",49,4398,"public","","windowsphonepeople","@edyg023/windowsphonepeople",2015-01-29 17:41:24,FALSE
"170912083","Linux","/ExasolAG/lists/linux",27,4377,"public","","linux","@ExasolAG/linux",2014-09-22 20:21:46,FALSE
"109843259","Linux Users","/danest/lists/linux-users",29,4478,"public","Linux Users, exported from @tacticscloud on March 30th, 2014","linux-users","@danest/linux-users",2014-03-31 05:29:04,FALSE
"104881904","Early Adopters 61","/trimlink/lists/early-adopters-61",2,4515,"public","","early-adopters-61","@trimlink/early-adopters-61",2014-02-01 00:01:53,FALSE
"100918043","con muchos seguidores 3","/FreddyRojas873/lists/con-muchos-seguidores-3",43,4411,"public","","con-muchos-seguidores-3","@FreddyRojas873/con-muchos-seguidores-3",2013-12-05 03:43:49,FALSE
"91022782","FQ","/wmps89/lists/fq",0,43,"public","","fq","@wmps89/fq",2013-06-09 15:42:49,FALSE
"73407629","Aragua Cojedes Guarico","/Ver35Val/lists/aragua-cojedes-guarico",14,206,"public","","aragua-cojedes-guarico","@Ver35Val/aragua-cojedes-guarico",2012-07-06 05:06:10,FALSE
"70401879","Gana LE DiabloIII","/ApartaDiabloIII/lists/gana-le-diabloiii",0,35,"public","","gana-le-diabloiii","@ApartaDiabloIII/gana-le-diabloiii",2012-05-11 15:27:47,FALSE
"70401824","Gana LE Diablo III","/ApartaDiabloIII/lists/gana-le-diablo-iii",3,432,"public","","gana-le-diablo-iii","@ApartaDiabloIII/gana-le-diablo-iii",2012-05-11 15:26:56,FALSE
"64220689","Técnologia","/Eduardoromerog/lists/técnologia",1,27,"public","Todo sobre lo ultimo en avances en la tecnología en todos los aspectos","técnologia","@Eduardoromerog/técnologia",2012-01-28 04:33:03,FALSE
"64219885","Nokia","/Eduardoromerog/lists/nokia",0,46,"public","Todo lo Referente a una de las mejores marcas de teléfonos celulares","nokia","@Eduardoromerog/nokia",2012-01-28 04:12:17,FALSE
"47280712","hash-meego","/c3iq/lists/hash-meego",10,428,"public","Conference based on #meego","hash-meego","@c3iq/hash-meego",2011-06-09 16:18:04,FALSE
"42152908","Mis Usonokia","/Andrearpw/lists/mis-usonokia",3,64,"public","Mis Usonokia","mis-usonokia","@Andrearpw/mis-usonokia",2011-04-04 01:39:13,FALSE
"11693934","tec","/dntcnlgy/lists/tec",2,107,"public","todo lo relacionado con tecnología.","tec","@dntcnlgy/tec",2010-05-01 16:24:03,FALSE
"8663531","ClubOVI","/NokiaClubVe/lists/clubovi",24,128,"public","Los miembros de la comunidad OVI de Venezuela.","clubovi","@NokiaClubVe/clubovi",2010-03-11 05:43:35,FALSE
"5468321","Tecnolog?a","/LuisRC/lists/tecnolog-a",2,22,"public","","tecnolog-a","@LuisRC/tecnolog-a",2010-01-06 16:48:37,FALSE
"481873","Venezuela","/LaTati/lists/venezuela",53,381,"public","","venezuela","@LaTati/venezuela",2009-10-29 12:19:07,FALSE
