"","created_at","mean"
"1",2020-01-08,-142
"2",2020-01-09,-856
"3",2020-01-24,-14355
"4",2020-01-25,-638
"5",2020-02-08,-1452
"6",2020-02-09,-2604
"7",2020-02-19,-1109
"8",2020-02-24,-3376
"9",2020-02-25,-927
"10",2020-03-09,-3620
"11",2020-03-11,-1269
"12",2020-03-24,-4520
"13",2020-03-25,-1523
"14",2020-04-09,-6640
"15",2020-04-10,-536
"16",2020-04-24,-3380
"17",2020-04-25,-154
"18",2020-05-09,-3232
"19",2020-05-10,-375
"20",2020-05-23,-1924
"21",2020-05-24,-2176
"22",2020-05-25,-376
"23",2020-06-09,-6300
"24",2020-06-10,-934
"25",2020-06-24,-3420
"26",2020-06-25,-1287
