"","word","sentiment","n"
"1","led","positive",29
"2","love","positive",29
"3","better","positive",30
"4","good","positive",31
"5","clear","positive",33
"6","right","positive",34
"7","support","positive",36
"8","risk","negative",40
"9","toll","negative",40
"10","lead","positive",42
"11","lost","negative",43
"12","top","positive",45
"13","work","positive",53
"14","crisis","negative",55
"15","killed","negative",66
"16","death","negative",83
"17","virus","negative",109
"18","died","negative",118
"19","like","positive",122
"20","breaking","negative",129
"21","outbreak","negative",172
